publisher,author,url,title,content,time,keyLine,query
Washington Post,Matt McFarland,https://www.washingtonpost.com/news/innovations/wp/2016/04/11/what-could-google-possibly-want-with-an-armless-robot/,What could Google possibly want with an armless robot?,"    But, he added: “Given the investment Google made in robotics and the talent that they pulled together through acquisitions and subsequent hiring, I would really love for them to carry through and do something amazing. I think they have the potential to do it.” “In Tokyo last week the SCHAFT team, who are now part of X, presented some of their latest work, including a video of some of the situations their robot can navigate, like stairs or slippery rocks on a beach,” Miller wrote in an email. “As with all of the robotics teams that recently moved from Google to X, we’re looking at the great technology work they’ve done so far.”",April 11,,google
Washington Post,,https://www.washingtonpost.com/newssearch/?query=google,,,,,google
Washington Post,Emma Brown,https://www.washingtonpost.com/news/grade-point/wp/2016/02/01/uc-berkeley-students-sue-google-alleging-their-emails-were-illegally-scanned/,"UC-Berkeley students sue Google, alleging their emails were illegally scanned","Four students and alumni from the University of California-Berkeley have sued Google in federal court, alleging that the company — which runs the university’s email accounts — illegally intercepted and scanned emails for advertising purposes without students’ knowledge or consent. Google’s Gmail service is a core feature of Google Apps for Education, which is provided for free to thousands of K-12 schools and universities and is used by more than 30 million students and teachers nationwide, according to the complaint. The lawsuit alleges that Google misled Berkeley and other institutions into believing that school email accounts would not be subject to scanning for commercial purposes. The schools, in turn, assured their students and staff of their privacy. But, the  alleges, Google was scanning and analyzing emails to serve targeted advertisements to students until April 30, 2014, when the company announced via a   that it had “permanently removed all ads scanning” in its email service for schools, “which means that Google cannot collect or use student data in Apps for Education services for advertising purposes.” That announcement amounted to a tacit acknowledgement that Google had been using information from student emails to target ads, according to the plaintiffs, who allege that Google violated the Electronic Communications Privacy Act. They are asking the court to force the company to delete any information derived from the scanned emails and pay damages. Under the law, the plaintiffs could collect up to $10,000 each, or $100 for each day that the law was broken, whichever is greater. “These schools and Plaintiffs reasonably did not know, understand, or suspect that Google was secretly reading their emails for commercial purposes,” says the complaint, filed Jan. 27 in the U.S. District Court for the Northern District of California, which has jurisdiction over many cases out of Silicon Valley. A spokeswoman for Google declined to comment. Khaliah Barnes of the Electronic Privacy Information Center said the lawsuit highlights how little the public knows about what information Google is collecting about students through its educational apps, and how that information is being used. “Google has not been subject to meaningful transparency, accountability and oversight concerning student records,” Barnes said. Chris Jay Hoofnagle, who teaches about privacy law and internet law at Berkeley, called Google’s alleged scanning “a radical attack on communications privacy.” And he’s concerned about far more than advertising. “Google could use information it gleans from the messages for its own purposes — purposes it does not have to disclose to us,” Hoofnagle said. “In effect, Google could act as an intelligence agency, deeply mining relationships and ideas among groups of people,” such as new inventions students and staff at Berkeley are developing. This is not the first time that Google — which has quickly grown into one of the nation’s largest providers of technology in schools — has been accused of misusing student data for commercial gain.     The scrutiny of Google is part of a broader debate over student privacy: Advocates say that K-12 and college students don’t have enough control over their own information, particularly as schools and universities turn to technology companies for everything from storing sensitive personal data to creating lessons tailored to individuals’ academic needs. The Electronic Frontier Foundation, a San Francisco-based privacy advocacy group, alleged in a   with the Federal Trade Commission that Google is gathering information about nearly everything that students are doing while signed into their school-based Google accounts. The complaint also alleged that the company is sometimes using that information to serve targeted advertisements, violating the   that it signed. FTC investigations are not public, and a spokesman for the agency said he could not confirm or deny whether it has opened a probe into those allegations. And a previous lawsuit, in 2013, alleged that Google was illegally scanning students’ emails, mirroring the Berkeley students’ claims.     But the earlier case — which was filed in the same federal court — was framed differently, as a class-action suit on behalf of virtually all users of Google’s Apps for Education. It ended in 2014, when a federal judge  , ruling that — because each school is responsible for its own privacy explanations and disclosures — users at some universities might have consented to the scanning of their emails. Ray Gallo, the lawyer for the plaintiffs in the current lawsuit, has taken a different approach: He aims to file many near-identical claims on behalf of plaintiffs from universities where students were clearly promised that their emails would not be scanned. He and his team used archived web pages to discern what individual schools were saying, between 2010 and 2014, about the privacy of the emails sent through university accounts. They found 11 schools that assured students in writing that their email accounts, though provided by Google, would not be scanned for advertising purposes. Berkeley, for example, told students that data from Google core services such as email “are not scanned for the purpose of displaying ads.” Other schools with similarly explicit promises included Harvard, Yale, UC-Santa Cruz and San Diego State University, the complaint says. The suit was first reported by San Diego State’s student newspaper, the  . Gallo said he is  additional potential plaintiffs from the 11 schools and — with the help of software that allows him to automate as much of the legal process as possible — anticipates filing “numerous” similar lawsuits in the future. “I joined the lawsuit to protect my privacy,” lead plaintiff Ryan Corley, a senior at Berkeley, said in a statement provided by Gallo. Like other students, Gallo said, Corley was required to use the account for school-related communications, and he used it to send personal information and educational records. He didn’t know of the alleged scanning of his emails until he saw an advertisement that Gallo’s firm placed, seeking potential plaintiffs for the case.",February 1,,google
Washington Post,Brian Fung,https://www.washingtonpost.com/news/the-switch/wp/2016/02/24/how-to-tell-google-apart-from-alphabet-in-1-chart/,"The difference between Google and Alphabet, explained","Did you know that Google doesn't actually work on driverless cars? That's right. In fact, that's technically an Alphabet project.  you might ask. Well, when Google underwent   last year, it spun off a number of its experimental projects into separate companies. Then it put all those companies, including Google, under an umbrella firm called Alphabet. Take Google X, for instance — the development lab that's responsible for researching everything from   to   to  . Google X isn't owned by Google anymore. It's owned by Alphabet. As part of the restructuring, it even changed its name to simply ""X."" If you find this confusing, you're probably not alone. So in the future, when we write about Alphabet, we're going to use the graphic below to help show how projects like drone delivery, driverless cars and smart thermostats fit into Google's business. Spoiler alert: They don't — at least organizationally. Alphabet's so-called ""Other Bets"" may help create new platforms for data that Google can then use to boost its search and advertising business. So, if you want to aim for accuracy, here's an org chart, and a description of some of the major subsidiaries below.  The big dog. The parent company for Google, as well as ""Other Bets"" including Nest, Google Fiber and X. One of several groups under Alphabet. Google contains many of the online services you know and use, such as search, Gmail, Android and Chrome. Alphabet's investment arms. GV (formerly Google Ventures) invests in startups as well as later-stage companies, whereas   exclusively pours its money into slightly more established firms that are technologically oriented. For example, GV has   in Medium, Slack and Uber. Google Capital has   in Cloudflare, Glassdoor and Duolingo. : Alphabet's  . Both are research and development labs that have hired scientists to pore over medical puzzles. Calico is focused on extending the human lifespan, whereas Verily is very interested in defeating disease. Alphabet's Internet service provider, which gives Americans in select cities access to speeds of 1 Gbps. It and Nest are two of the most financially successful subsidiaries among the Other Bets. Alphabet's research lab that's responsible for its self-driving cars, balloon-based Internet and drone delivery experiments, among others. Purchased by then-Google in 2014 for $3.2 billion, Nest is betting big on the Internet of Things. It makes smart thermostats for the home, as well as Internet-connected security cameras and smoke detectors. Alphabet's geopolitically oriented  . It's responsible for projects such as a data visualization of the   and studies of  . This is by no means an exhaustive list. But the main goal here is to show what is — and isn't — Google's.",February 24,,google
Washington Post,Matt McFarland,https://www.washingtonpost.com/news/innovations/wp/2016/03/10/googles-psychedelic-paint-brush-raises-the-oldest-question-in-art/,Google’s psychedelic ‘paint brush’ raises the oldest question in art,"A recent San Francisco art show hosted by Google included the typical trappings   a big crowd, striking pieces of art and expensive price tags. But there was one noteworthy distinction of this particular art show   all of the pieces were created with the help of a Google computer program. The artwork relies on  that remakes an image to include whatever it is being told to see in the image. The end result is a hallucination of the image that has a psychedelic look. The new software provide artists an opportunity to be creative like never before. With this fresh approach to art, there are questions about who should get credit for the artwork. Should it be the artist, the computer software, or the software’s creator, and is the final product really art? For the London man behind one of the pieces that sold for $8,000, the price was an endorsement of artists’ continued value in a world that is increasingly reliant on technology and machines. (One other piece of art at the show also sold for $8,000.) While the creator Memo Akten said that Google has made a better “paintbrush,” the human artist is essential. Not just any image fed into the computer program can sell for so much, he said. began creating his artwork called “GCHQ” with a Google Maps screenshot of GCHQ, the British intelligence and security agency. He input it into a Google program called DeepDream, a   that anyone can use. But Akten went a step further, tweaking the code to produce multiple morphed versions of the Google Maps screenshot that were to his liking. One was covered in eyes, another had web-like detail and a third had a textured look. Then Akten merged those three images using Adobe AfterEffects into a single image, his final product. While the initial version of his art took only a couple hours to make, Akten later spent a couple weeks creating a larger scale version of the art. (The print that was sold was about six feet by three feet.) The inspiration behind the piece was Akten’s belief that tech companies such as Google and government agencies are like modern deities that play the role of religions in previous years. Patchen thinks credit for Atken’s work should be shared between the artist and the algorithm’s creators. Until the algorithm itself becomes a thinking being, he thinks it’s merely a tool, deserving of no credit. For Christiane Paul, the adjunct curator of new media arts at the Whitney Museum of American Art, credit solely lies with the artist. She noted that an artist using Adobe Photoshop to make a piece of art wouldn’t credit the team that had made Photoshop. Paul said artists have long sought new tools to elevate their work, such as creating a new color or finding a new material to work with. “Whether it’s a new paintbrush or pigment or neural network, they are all potentially great tools for creating sophisticated art,” said Paul, who felt Akten’s work was rich in creativity.",March 10,,google
Washington Post,Matt McFarland,https://www.washingtonpost.com/news/innovations/wp/2016/02/29/for-the-first-time-googles-self-driving-car-takes-some-blame-for-a-crash/,"For the first time, Google’s self-driving car takes some blame for a crash","A Google self-driving car sideswiped a bus this month, the first blemish on the otherwise spotless driving record of the company’s vehicles. Google’s 53 vehicles have driven more than 1.4 million miles autonomously and been in 17 crashes, but never been at fault before. The crash took place at 3:20 p.m. Feb. 14, about three miles from Google’s headquarters in Mountain View, Calif. Google’s car was attempting to make a right-hand turn on red, and moved to the right side of a wide lane on El Camino Real to pass traffic stopped at the light. But as Google’s car neared the intersection of Castro Street, its path was blocked by sandbags around a storm drain, according to a report Google filed with the California DMV. Google’s car tried to go around the sandbags by cutting into the line of vehicles on the left side of the lane. Instead, it struck a metal piece connecting the two halves of an accordion-style bus, according to a Santa Clara Valley Transportation Authority spokeswoman. Google said its car was going less than 2 mph and the bus was moving at 15 mph. Both parties said there were no injuries and described the crash as minor. “We hope to handle situations like this more gracefully in the future,” Google said in a monthly report. “We clearly bear some responsibility, because if our car hadn’t moved there wouldn’t have been a collision.” The accident highlights the imperfections of the current self-driving technology, which is widely seen as a promising solution to the thousands of lives lost each year on roadways. While many in the tech and auto industry have circled 2020 as a roll-out date for self-driving vehicles, others have warned that it will likely take longer.",February 29,,google
Washington Post,Hayley Tsukayama,https://www.washingtonpost.com/news/the-switch/wp/2016/04/01/how-to-find-your-messages-if-you-fell-for-googles-mic-drop-prank/,How to find your messages if you fell for Google’s ‘Mic Drop’ prank,"It's April Fools' Day, so Google decided to have a little fun with its users by adding a new function to Gmail: the ""Mic Drop."" Using one of the Internet's favorite mascots, minions from ""Despicable Me,"" Google replaced its normal ""Send and Archive"" button with a bright-orange one that guaranteed you'd have the last word by blocking any replies that may come after that message. It also appended a sassy little GIF of a minion dropping a mic. Cute, right? But panic — not hilarity — ensued after the prank was deployed. Google's product forums were soon full of reports from users saying that the feature had seriously hurt them personally and professionally when they hit the button by accident for emails that they really shouldn't have. The complaints prompted Google to take back its joke and apologize for the inconvenience. Oh, dear. For those affected by the prank, there is, however  a way to recover your messages. You can find the replies to your email in the ""All Mail"" folder, a Google spokesman said. Users on Google's help forums have also reported that you can find any replies by finding the email thread in your ""Sent"" folder, and then moving it to your Inbox. While it won't undo whatever damage may already be done, you will at least be able to see how people responded. Then, you can send a fresh email explaining the circumstances.     It'd be easy to say that those complaining just can't take a joke. Yet that glosses over the fact that email is a channel for some pretty serious communication. ""I send a legal document which affects mine and my family's life and you stick that button in the place of a send button,"" reads a post from one of many complainants pointing out that maybe the feature wasn't such a good idea. Others said on the forum that they may have lost job opportunities because of the feature, after accidentally using it in emails to prospective employers or to freelance editors. Technologist Andy Baio, after criticizing Google for their ""short-sighted"" prank, posted   of people who'd run afoul of the prank, including one woman who accidentally attached the GIF to a request for prayers. Google, to its credit, wholeheartedly acknowledged that it messed up. In a statement, the company said, ""Well, it looks like we pranked ourselves this year. Due to a bug, the MicDrop feature inadvertently caused more headaches than laughs. We’re truly sorry. The feature has been turned off. If you are still seeing it, please reload your Gmail page."" The company did not disclose what, if anything, it paid to license the Minion characters for the joke feature. The Google spokesman said that the company isn't sure how many people may have used the feature between when it first went live at 1 a.m. Friday Zurich time (7 p.m. Eastern on Thursday) and when it was removed   The feature was not turned on for professional ""Google Apps"" accounts — which may have limited some of the potential professional damage —  but it's clear that a lot of people use the consumer version of Gmail for serious business as well. Things appear to be back to normal for most Gmail users; in fact, many users may have never seen the button at all. But some users have reported that they've had trouble getting the feature to stop with conversations on which they've already used ""Mic Drop,""  . For example, some users have reported using the joke feature on a draft email with no recipients, only to find themselves still unable to get replies after using the normal send button.     Is this a lesson in being careful about what you click? Yes. But it should also be a lesson for companies to think carefully about how people actually use their products — and a cautionary tale in how not to mess that up.",April 1,,google
Washington Post,"Brian Fung,Elizabeth Dwoskin",https://www.washingtonpost.com/news/the-switch/wp/2016/04/07/why-these-firms-want-to-buy-yahoo-and-the-antitrust-concerns-they-could-face-if-they-do/,Why these firms want to buy Yahoo — and the antitrust concerns they could face if they do,"A potential bidding war between corporate titans is brewing over Yahoo, the troubled search engine and media company. Under a deadline for opening bids  , companies as diverse as Google, Verizon and Time Inc.  -- and a raft of Wall Street buyout firms -- may soon find themselves in a dogfight to own one of the biggest digital media properties on the planet, despite its gloomy outlook. Yahoo's financial situation is worse than most analysts even knew. The company is projecting steep drops in revenue and earnings for 2016 — more than 15 percent, according to a book of internal figures obtained by  . The documents come just weeks after Yahoo   it was laying off more than 1,500 employees and a quarterly loss of $4.4 billion. The book containing the detailed numbers is being shown to Yahoo's potential buyers, and it appears to suggest that a return to growth is not anywhere on the horizon. In light of such troubles, why would anybody want to buy Yahoo? The answer comes down to eyeballs and advertising. Despite its declining fortunes, Yahoo is still the third-largest digital media company in the United States, attracting a whopping 202.5 million unique visitors in November, according to the analytics firm comScore. That beats out Wikipedia, ESPN and the Weather Channel. Only Google and Facebook commanded larger audiences. At that scale, Yahoo is an Internet giant. It draws 84% of its revenue from ads that appear on its main search page on desktop computers, known as search and display advertising. And that makes it a tasty morsel for companies who are either just entering the online advertising space or who believe they can improve upon Yahoo's formula. Yahoo's inability to establish a profitable advertising business off its trove of consumer data has put it at a severe disadvantage to Google and Facebook, analysts say. Instead of selling high-value ads aimed at very specific audiences, Yahoo offers advertisers ""broader, less targeted"" ads, said Forrester analyst Jim Nail. As a result, advertisers spend all their money on Google and Facebook and “throw a few crumbs” to Yahoo as an afterthought, Nail said. The declines in Yahoo’s business reflect falling revenues from search ads, as users and ad dollars migrate to mobile devices and to technologies that can track user behavior across platforms. While Facebook and Google have been adept at managing this transition, Yahoo hasn’t been able to offset declines in its desktop search business with gains in mobile. “They are just not able to pull all their data together in a way that is attractive to advertisers,” Nail said of Yahoo's executives. He added: ""All these players think they’d do a better job monetizing its audience than Yahoo has done."" One of the leading ""players"" to land Yahoo is Verizon, analysts said. Verizon may have begun as a phone company. But it is rapidly becoming an Internet business in its own right, buying AOL last year for $4 billion and   to improve how it places ads on online video and other digital content. (By the way, AOL counted 174 million unique visitors in November.) The interest from Verizon comes as the telecom industry realizes it is no longer profitable to act as a mere supplier of mobile data and Internet access. Now, companies are moving to offer their own content and services over their own networks, as well as looking to gather data on their subscribers that can be applied toward advertising. ""This is about Verizon building a stronger business focus around data-gathering and applications that enables them to expand their advertising resources,"" said Gene Kimmelman, a former Justice Department antitrust official who now leads the consumer advocacy group Public Knowledge. Robert Peck, managing director at SunTrust Robinson Humphrey, said the deal is ""Verizon's to lose."" Peck added that combining Yahoo and AOL would give Verizon a scale that would enable it to compete with Google and Facebook in the race to capture ad dollars. And it would significantly enhance the company's data mining and tracking capabilities. Verizon could also layer its mobile data with Yahoo's. ""Data is the gold of the Internet. The more data you have the better your target ability,"" said Peck. Peck estimates that Yahoo's Web businesses are worth between $6 billion to $8 billion. Bloomberg reported Thursday that Verizon has hired three financial advisers to work on its bid. Verizon and Yahoo declined to comment. Time Inc., another rumored buyer, could incorporate Yahoo's audience into its own, scaling an already massive publishing operation. With 110 million monthly unique visitors, Time is the 15th-largest site on the U.S. Internet, according to comScore. But with Yahoo, Time could easily muscle its way into the top 10, if not higher. And that could ultimately mean more advertising dollars. A spokesperson for Time declined to comment. The same could be true of Google, which Bloomberg said is mulling a bid. Imagine if Google took its substantial ad prowess and applied it to Yahoo's content and audience, eliminating a lesser rival in the process. But for those precise reasons, Google would likely face stiff scrutiny from antitrust regulators who have eyed the company suspiciously in the past, said Kimmelman. ""That's a huge antitrust issue,"" he said. ""There would be an enormous red flag."" Google declined to comment. We've been here before. In 2008, Google and Yahoo were forced to abandon an advertising partnership under threat of litigation from the Justice Department,   that the deal would have turned two of the biggest competitors on the Internet into collaborators that could together choke off competition in search advertising. But search advertising is just one form of the art. Increasingly, ads can be sold against a proliferating number of platforms. And smart media companies are realizing that the only way to survive is to sell ads on all of them. This is resulting in a potential advertising scrum that pits companies of seemingly unrelated industries against one another. Suddenly, Verizon's business model starts to look very much like Google's, which in turn is not too dissimilar from Time's. So the biggest antitrust questions of the future will be raised not by the prospect of one search engine knocking out another, as Google could do to Yahoo, but rather over advertising across the whole Internet. And regulators will be in the middle, trying to define where one type of advertising market ends and another begins.",April 7,,google
Washington Post,Jeff Amy | AP,https://www.washingtonpost.com/business/technology/appeals-court-rules-mississippi-can-resume-google-inquiry/2016/04/09/66a40856-febf-11e5-813a-90ab563f0dde_story.html,Appeals court rules Mississippi can resume Google inquiry,"JACKSON, Miss. — Mississippi’s attorney general can resume an investigation into whether Google facilitates illegal behavior, an appeals court ruled. The 5th U.S. Circuit Court of Appeals on Friday overturned a district judge who had sided with Google. U.S. District Judge Henry T. Wingate ruled last year that the unit of Alphabet Inc. didn’t have to answer a subpoena by Mississippi Attorney General Jim Hood. Hood began complaining in 2012 that Google wasn’t doing enough to prevent people from breaking the law. In October 2014, he sent a 79-page subpoena demanding Google produce information about a wide range of subjects, including whether Google helps criminals by allowing its search engine to lead to pirated music, having its autocomplete function suggest illegal activities and sharing YouTube ad revenue with the makers of videos promoting illegal drug sales. Instead of complying, Google sued. The appeals court also dissolved the lower judge’s injunction that had barred Hood from bringing any civil or criminal lawsuits against the Mountain View, California-based company, saying that a mere subpoena wasn’t enough to rule that Hood was acting in bad faith.  “This injunction covers a fuzzily defined range of enforcement actions that do not appear imminent,” Chief Circuit Judge Carl E. Stewart wrote for a three-judge panel. “We cannot on the present record predict what conduct Hood might one day try to prosecute under Mississippi law.” The judges also noted that Hood would have to go to state court to force Google to comply with the administrative subpoena and that Google could challenge Hood’s requests then. The appeals panel ordered Wingate to dismiss Google’s entire lawsuit. Google had contended that Hood should be blocked, saying Google and similar companies can’t be sued under the federal Communications Decency Act for what others post on the Internet. The panel said Google might be able to file a federal lawsuit later. Google also claimed Hood’s investigation was tainted by a close association with the movie industry. Wingate had ruled Hood’s subpoena was retaliation for Google not knuckling under to his demands. The judges said they weren’t ruling whether Hood’s subpoena is reasonable or whether Google was immune federal law. Hood spokeswoman Rachael Ring said the attorney general plans to discuss the ruling at a Monday news conference. A number of other attorneys general had asked the appeals court to dissolve the injunction, saying it was a blow to the investigative power of all states. It’s unclear whether Google will appeal.  “We’re reviewing the implications of the court’s decision, which focused on whether our claim was premature rather than on the merits of the case,” spokesman William Fitzgerald wrote in an email Saturday. Google has argued Hood wants to censor the Internet and violate Google’s constitutional rights. Leaked documents indicated that the Motion Picture Association of America helped draft the subpoena. The movie industry and Google have been at odds over copyright law, with studios failing to win more restrictive federal laws. Hood has defended his cooperation with the movie industry, saying he’s working with victims of crimes. ___ Online: U.S. 5th Circuit ruling: http://1.usa.gov/20qx02e ___ Follow Jeff Amy at: http://twitter.com/jeffamy. Read his work at http://bigstory.ap.org/author/jeff-amy ___ This story has been corrected to show appeals panel dismissed Google’s entire case. Copyright 2016 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",April 9,,google
Washington Post,Elise Viebeck,https://www.washingtonpost.com/news/powerpost/wp/2016/04/11/mississippi-can-resume-google-investigation-critics-hit-draft-encryption-bill-u-s-to-push-apple-in-new-york-drug-case/,Mississippi can resume Google investigation; critics hit draft encryption bill; U.S. to push Apple in New York drug case," Mississippi’s attorney general can resume an investigation of Google following an appeals court ruling in favor of the state. “The 5th U.S. Circuit Court of Appeals on Friday overturned a district judge who had sided with Google,” the Associated Press  . “The district judge originally ruled that the unit of Alphabet Inc. didn’t have to answer a subpoena by Mississippi Attorney General Jim Hood … Hood says he’s trying to determine whether Google helps criminals by helping people find pirated music or illegal drugs. The Internet giant says it’s not liable for what others do online.” The director of the New America Foundation’s Open Technology Institute   that the draft Senate encryption bill is “easily the most ludicrous, dangerous, technically illiterate proposal I’ve ever seen.” The bill from Sens. Dianne Feinstein (D-Calif.) and Richard Burr (R-N.C.) would effectively ban unbreakable encryption,   The Associated Press. “Burr and Feinstein’s bill disappoints its privacy critics in part because it seems to entirely ignore the points already made in a debate that’s raged for well over a year,” Wired  . Critics have “pointed out that any attempt to ban strong encryption in American products would only force people seeking law-enforcement-proof data protection to use encryption software created outside the U.S., of which there is plenty to choose from.”  The Justice Department says it’s going to continue to fight to force Apple to crack an iPhone related to a New York drug investigation. “Just two weeks ago, the government dropped its effort to require Apple to crack an iPhone used by one of the shooters in the December attacks in San Bernardino, California, saying it had unlocked the phone without Apple’s help,” Reuters  . “Some observers thought the government would back away from the New York case too, since the suspect has already pleaded guilty. But in a letter filed in federal court in Brooklyn, New York, the Justice Department said, ‘The government continues to require Apple’s assistance in accessing the data that it is authorized to search by warrant.'”",April 11,,google
